"Name","top_k_experts","top_k_tokens","top_p_experts","top_p_tokens","execution_accuracy","exact_match","fallbacks","switches_wo_fallback","switches","execution_accuracy_easy","execution_accuracy_medium","fallbacks (Min)","switches (Min)","switches_wo_fallback (Min)","Commit","Created","Description","Runtime","GitHub","Group","End Time","Hostname","Job Type","ID","Notes","GPU Type","GPU Count","State","Sweep","Updated","User","Tags","method","metric.goal","metric.name","name","program","exact_match_easy","exact_match_extra","exact_match_hard","exact_match_medium","execution_accuracy_extra","execution_accuracy_hard","parameters.top_k_expertss","parameters.top_p_expertss","parameters.top_k_tokenss","parameters.top_p_tokenss","command"
"icy-sweep-761","16","0","0.2","0","0.1","0.02","3502","0","0","0.2692307692307692","0.07142857142857142","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-05T18:13:54.000Z","","833","","","2024-06-05T18:27:47.000Z","04ddb2d107b3","","d7coh3lq","-","NVIDIA H100 80GB HBM3","8","finished","kalacugk","2024-06-05T18:27:47.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"comfy-sweep-281","1","40","0.2","0","0.1","0.02","3837","0","0","0.2692307692307692","0.07142857142857142","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-03T13:40:56.000Z","","816","","","2024-06-03T13:54:32.000Z","04ddb2d107b3","","iwv87tdr","-","NVIDIA H100 80GB HBM3","8","finished","kalacugk","2024-06-03T13:54:32.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"fearless-sweep-431","2","40","0.2","0","0.1","0.02","3506","0","4","0.2692307692307692","0.07142857142857142","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-04T03:38:07.000Z","","848","","","2024-06-04T03:52:15.000Z","04ddb2d107b3","","iy0xexxk","-","NVIDIA H100 80GB HBM3","8","finished","kalacugk","2024-06-04T03:52:15.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"lilac-sweep-231","1","10","0.6","0","0.1","0.02","3837","0","0","0.2692307692307692","0.07142857142857142","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-03T08:52:25.000Z","","808","","","2024-06-03T09:05:53.000Z","04ddb2d107b3","","iyh9o1nu","-","NVIDIA H100 80GB HBM3","8","finished","kalacugk","2024-06-03T09:05:53.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"rare-sweep-555","4","20","0.2","0.8","0.1","0.02","3574","0","73","0.2692307692307692","0.07142857142857142","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-04T17:33:15.000Z","","834","","","2024-06-04T17:47:09.000Z","04ddb2d107b3","","j0nz0zrk","-","NVIDIA H100 80GB HBM3","8","finished","kalacugk","2024-06-04T17:47:09.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"grateful-sweep-395","2","20","0","0.8","0.09","0.02","1031","0","1031","0.2692307692307692","0.047619047619047616","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-04T00:06:43.000Z","","1330","","","2024-06-04T00:28:53.000Z","gx02","","j1hmk1yh","-","NVIDIA A100-SXM4-80GB","3","finished","kalacugk","2024-06-04T00:28:53.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"wandering-sweep-375","2","10","0.2","0.8","0.1","0.02","3574","0","72","0.2692307692307692","0.07142857142857142","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-03T22:19:26.000Z","","806","","","2024-06-03T22:32:52.000Z","04ddb2d107b3","","d4el7t78","-","NVIDIA H100 80GB HBM3","8","finished","kalacugk","2024-06-03T22:32:52.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"fallen-sweep-228","1","10","0.4","0.4","0.09","0.02","3837","0","0","0.2692307692307692","0.047619047619047616","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-03T08:42:18.000Z","","1246","","","2024-06-03T09:03:04.000Z","gx02","","d3tjqwk6","-","NVIDIA A100-SXM4-80GB","3","finished","kalacugk","2024-06-03T09:03:04.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"autumn-sweep-787","16","5","0.1","0.2","0.09","0.02","3836","0","1","0.2692307692307692","0.047619047619047616","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-05T21:20:16.000Z","","1454","","","2024-06-05T21:44:30.000Z","gx01","","j4soewly","-","NVIDIA A100-SXM4-40GB","6","finished","kalacugk","2024-06-05T21:44:30.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"blooming-sweep-793","16","5","0.2","0.4","0.1","0.02","3593","0","93","0.2692307692307692","0.07142857142857142","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-05T21:49:36.000Z","","837","","","2024-06-05T22:03:33.000Z","04ddb2d107b3","","d3gt8xim","-","NVIDIA H100 80GB HBM3","8","finished","kalacugk","2024-06-05T22:03:33.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
